PlantVarietyID,PlantID,PlantVarietyName,PlantVarietyDescription,SoilTextureID,PHRangeID,IngredientNutrientID,OrganicMatterID,SalinityLevelID,ZoneID,HumidityID,WaterRequirementMin,WaterRequirementMax,SoilTexture_SoilTexture,SoilTexture_Description,PHRange_PHRange,PHRange_SoilType,PHRange_Description,OrganicMatter_OrganicMatterContent,OrganicMatter_Description,OrganicMatter_ImportanceToSoilAndPlants,SalinityLevel_SalinityLevel,SalinityLevel_Classification,SalinityLevel_Description,SalinityLevel_ImpactonPlants,Zone_Zone,Zone_TemperatureStartRange,Zone_TemperatureEndRange,Humidity_HumidityLevelLow,Humidity_HumidityLevelHigh,Humidity_Classification,Humidity_Description,Humidity_ImpactonPlants
501,2,Little Gem,"A smaller, sweeter, and more tender version of Romaine lettuce. Little Gem lettuce is boat-shaped and can handle strong vinaigrettes.",3,4,nan,3,1,25,3,5,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
502,2,Looseleaf,"A lettuce that comes in many shapes and shades, and can be grown for baby leaves or full heads.",3,4,nan,3,1,19,3,10,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
503,2,Oak Leaf,A delicate lettuce that can be green or red and is shaped like an oak leaf.,3,4,nan,3,1,17,3,3,8,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
504,2,Crisphead,Similar to Iceberg lettuce. These varieties have a tight round shape and are crisp and crunchy.,3,5,nan,3,1,19,3,10,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
505,2,Red Leaf Lettuce,A looseleaf variety with reddish-green leaves that are tender and slightly sweet.,3,4,nan,4,1,25,3,5,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
506,2,Iceberg,"A popular variety known for its crisp texture and mild flavor, forming dense heads.",3,5,nan,3,1,19,3,5,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
507,2,Butterhead,"Also known as Bibb or Boston lettuce, it has soft, tender leaves and a buttery texture.",3,5,nan,3,1,11,3,20,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
508,2,Romaine,A sturdy lettuce with elongated leaves that are crisp and have a slightly bitter taste.,3,5,nan,3,1,17,3,10,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
509,2,Frisée,"A curly-leafed variety with a slightly bitter flavor, often used in salads for texture.",3,3,nan,3,1,19,3,3,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
510,2,Radicchio,"A colorful, red-leafed variety with a slightly bitter flavor, often used in salads and grilling.",3,3,nan,3,1,17,3,2,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
511,2,Lollo Rosso,"A looseleaf variety with ruffled, deep red leaves that are tender and slightly sweet.",3,3,nan,4,1,19,3,ID: 2,15,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
512,2,Wild Lettuce,"A type of lettuce that grows wild and has a milder flavor, often used for medicinal purposes.",3,5,nan,3,1,19,3,3,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
513,2,Green Leaf,"A looseleaf variety that is mild in flavor and tender in texture, often used in salads.",3,4,nan,3,1,17,3,5,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
514,2,Buttercrunch,"A hybrid lettuce with a crunchy texture and sweet flavor, combining qualities of Butterhead and Crisphead.",3,4,nan,4,1,17,3,10,15,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
515,2,Celtuce,"Also known as stem lettuce, it is grown primarily for its thick stem, which has a mild flavor and is often used in stir-fries.",3,5,nan,3,1,17,3,ID: 5,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
516,2,Tango,"A frilled leaf variety that is crisp and vibrant green, often used in salads for texture and visual appeal.",3,4,nan,4,1,1,3,5,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
517,2,Endive,"A slightly bitter lettuce variety, which includes Belgian endive and curly endive, often used in salads.",3,4,nan,3,1,19,3,5,50,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
518,2,Mâche (Lamb’s Lettuce),"A small, tender salad green with a slightly nutty flavor, often included in spring mixes.",3,4,nan,3,1,11,3,3,ID: 1,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
519,2,Tat Soi,"A Chinese green with a mild flavor and spoon-shaped leaves, commonly used in Asian cuisine.",3,4,nan,3,1,15,3,5,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
520,2,Watercress,"A peppery, leafy green often used in salads and as a garnish.",4,5,nan,4,1,19,4,5,10,Silt Soil,"Smooth, powdery texture, holds water better than sandy soil but drains slower, fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,70,90,High,"Humid conditions, often found in tropical climates.","Can lead to excessive moisture, promoting diseases like mildew and root rot; may benefit certain moisture-loving plants."
521,2,Red Romaine,"A variety of Romaine with red leaves, offering a slightly sweeter taste compared to green Romaine.",3,5,nan,3,1,17,3,ID: 2,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
523,2,Chinese Lettuce,"A long-leaved lettuce often used in Asian dishes, crisp and refreshing.",3,5,nan,3,1,1,3,5,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
524,2,Mizuna,"A Japanese mustard green with a peppery flavor, often used in salads and stir-fries.",3,3,nan,3,1,19,3,2,15,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
526,2,Escarole,"A type of endive with broader leaves, slightly bitter, often used in salads or cooked dishes.",3,4,nan,3,1,17,3,ID: 2,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
527,2,Arugula,"Also known as rocket, it has a peppery flavor and is often used in salads or as a garnish.",3,4,nan,3,1,25,3,5,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
528,2,Purslane,"A succulent green with a slightly lemony flavor, often used in salads and as a garnish.",3,5,nan,3,2,1,3,3,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",2 - 4,Slightly Saline,"Mild salinity, some sensitive crops may start showing signs of stress.",Sensitive plants like beans and carrots may experience reduced growth; tolerant plants generally unaffected.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
529,2,Salad Bowl,"A looseleaf variety that is tender and flavorful, available in red and green.",3,4,nan,3,1,25,3,5,2,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
